mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,name,kpl,hp_bins
25.0,4,104.0,95.0,2375.0,17.5,70,EU,saab 99e,10.63,저출력
26.0,4,121.0,113.0,2234.0,12.5,70,EU,bmw 2002,11.05,보통출력
21.0,6,199.0,90.0,2648.0,15.0,70,USA,amc gremlin,8.93,저출력
10.0,8,360.0,215.0,4615.0,14.0,70,USA,ford f250,4.25,고출력
10.0,8,307.0,200.0,4376.0,15.0,70,USA,chevy c20,4.25,고출력
11.0,8,318.0,210.0,4382.0,13.5,70,USA,dodge d200,4.68,고출력
9.0,8,304.0,193.0,4732.0,18.5,70,USA,hi 1200d,3.83,고출력
27.0,4,97.0,88.0,2130.0,14.5,71,Japan,datsun pl510,11.48,저출력
28.0,4,140.0,90.0,2264.0,15.5,71,USA,chevrolet vega 2300,11.9,저출력
25.0,4,113.0,95.0,2228.0,14.0,71,Japan,toyota corona,10.63,저출력
19.0,6,232.0,100.0,2634.0,13.0,71,USA,amc gremlin,8.08,저출력
16.0,6,225.0,105.0,3439.0,15.5,71,USA,plymouth satellite custom,6.8,저출력
17.0,6,250.0,100.0,3329.0,15.5,71,USA,chevrolet chevelle malibu,7.23,저출력
19.0,6,250.0,88.0,3302.0,15.5,71,USA,ford torino 500,8.08,저출력
18.0,6,232.0,100.0,3288.0,15.5,71,USA,amc matador,7.65,저출력
14.0,8,350.0,165.0,4209.0,12.0,71,USA,chevrolet impala,5.95,보통출력
14.0,8,400.0,175.0,4464.0,11.5,71,USA,pontiac catalina brougham,5.95,고출력
14.0,8,351.0,153.0,4154.0,13.5,71,USA,ford galaxie 500,5.95,보통출력
14.0,8,318.0,150.0,4096.0,13.0,71,USA,plymouth fury iii,5.95,보통출력
12.0,8,383.0,180.0,4955.0,11.5,71,USA,dodge monaco (sw),5.1,고출력
13.0,8,400.0,170.0,4746.0,12.0,71,USA,ford country squire (sw),5.53,고출력
13.0,8,400.0,175.0,5140.0,12.0,71,USA,pontiac safari (sw),5.53,고출력
18.0,6,258.0,110.0,2962.0,13.5,71,USA,amc hornet sportabout (sw),7.65,보통출력
22.0,4,140.0,72.0,2408.0,19.0,71,USA,chevrolet vega (sw),9.35,저출력
19.0,6,250.0,100.0,3282.0,15.0,71,USA,pontiac firebird,8.08,저출력
18.0,6,250.0,88.0,3139.0,14.5,71,USA,ford mustang,7.65,저출력
23.0,4,122.0,86.0,2220.0,14.0,71,USA,mercury capri 2000,9.78,저출력
28.0,4,116.0,90.0,2123.0,14.0,71,EU,opel 1900,11.9,저출력
30.0,4,79.0,70.0,2074.0,19.5,71,EU,peugeot 304,12.75,저출력
30.0,4,88.0,76.0,2065.0,14.5,71,EU,fiat 124b,12.75,저출력
31.0,4,71.0,65.0,1773.0,19.0,71,Japan,toyota corolla 1200,13.18,저출력
35.0,4,72.0,69.0,1613.0,18.0,71,Japan,datsun 1200,14.88,저출력
27.0,4,97.0,60.0,1834.0,19.0,71,EU,volkswagen model 111,11.48,저출력
26.0,4,91.0,70.0,1955.0,20.5,71,USA,plymouth cricket,11.05,저출력
24.0,4,113.0,95.0,2278.0,15.5,72,Japan,toyota corona hardtop,10.2,저출력
25.0,4,97.5,80.0,2126.0,17.0,72,USA,dodge colt hardtop,10.63,저출력
23.0,4,97.0,54.0,2254.0,23.5,72,EU,volkswagen type 3,9.78,저출력
20.0,4,140.0,90.0,2408.0,19.5,72,USA,chevrolet vega,8.5,저출력
21.0,4,122.0,86.0,2226.0,16.5,72,USA,ford pinto runabout,8.93,저출력
13.0,8,350.0,165.0,4274.0,12.0,72,USA,chevrolet impala,5.53,보통출력
14.0,8,400.0,175.0,4385.0,12.0,72,USA,pontiac catalina,5.95,고출력
15.0,8,318.0,150.0,4135.0,13.5,72,USA,plymouth fury iii,6.38,보통출력
14.0,8,351.0,153.0,4129.0,13.0,72,USA,ford galaxie 500,5.95,보통출력
17.0,8,304.0,150.0,3672.0,11.5,72,USA,amc ambassador sst,7.23,보통출력
11.0,8,429.0,208.0,4633.0,11.0,72,USA,mercury marquis,4.68,고출력
13.0,8,350.0,155.0,4502.0,13.5,72,USA,buick lesabre custom,5.53,보통출력
12.0,8,350.0,160.0,4456.0,13.5,72,USA,oldsmobile delta 88 royale,5.1,보통출력
13.0,8,400.0,190.0,4422.0,12.5,72,USA,chrysler newport royal,5.53,고출력
19.0,3,70.0,97.0,2330.0,13.5,72,Japan,mazda rx2 coupe,8.08,저출력
15.0,8,304.0,150.0,3892.0,12.5,72,USA,amc matador (sw),6.38,보통출력
13.0,8,307.0,130.0,4098.0,14.0,72,USA,chevrolet chevelle concours (sw),5.53,보통출력
13.0,8,302.0,140.0,4294.0,16.0,72,USA,ford gran torino (sw),5.53,보통출력
14.0,8,318.0,150.0,4077.0,14.0,72,USA,plymouth satellite custom (sw),5.95,보통출력
18.0,4,121.0,112.0,2933.0,14.5,72,EU,volvo 145e (sw),7.65,보통출력
22.0,4,121.0,76.0,2511.0,18.0,72,EU,volkswagen 411 (sw),9.35,저출력
21.0,4,120.0,87.0,2979.0,19.5,72,EU,peugeot 504 (sw),8.93,저출력
26.0,4,96.0,69.0,2189.0,18.0,72,EU,renault 12 (sw),11.05,저출력
22.0,4,122.0,86.0,2395.0,16.0,72,USA,ford pinto (sw),9.35,저출력
28.0,4,97.0,92.0,2288.0,17.0,72,Japan,datsun 510 (sw),11.9,저출력
23.0,4,120.0,97.0,2506.0,14.5,72,Japan,toyouta corona mark ii (sw),9.78,저출력
28.0,4,98.0,80.0,2164.0,15.0,72,USA,dodge colt (sw),11.9,저출력
27.0,4,97.0,88.0,2100.0,16.5,72,Japan,toyota corolla 1600 (sw),11.48,저출력
13.0,8,350.0,175.0,4100.0,13.0,73,USA,buick century 350,5.53,고출력
14.0,8,304.0,150.0,3672.0,11.5,73,USA,amc matador,5.95,보통출력
13.0,8,350.0,145.0,3988.0,13.0,73,USA,chevrolet malibu,5.53,보통출력
14.0,8,302.0,137.0,4042.0,14.5,73,USA,ford gran torino,5.95,보통출력
15.0,8,318.0,150.0,3777.0,12.5,73,USA,dodge coronet custom,6.38,보통출력
12.0,8,429.0,198.0,4952.0,11.5,73,USA,mercury marquis brougham,5.1,고출력
13.0,8,400.0,150.0,4464.0,12.0,73,USA,chevrolet caprice classic,5.53,보통출력
13.0,8,351.0,158.0,4363.0,13.0,73,USA,ford ltd,5.53,보통출력
14.0,8,318.0,150.0,4237.0,14.5,73,USA,plymouth fury gran sedan,5.95,보통출력
13.0,8,440.0,215.0,4735.0,11.0,73,USA,chrysler new yorker brougham,5.53,고출력
12.0,8,455.0,225.0,4951.0,11.0,73,USA,buick electra 225 custom,5.1,고출력
13.0,8,360.0,175.0,3821.0,11.0,73,USA,amc ambassador brougham,5.53,고출력
18.0,6,225.0,105.0,3121.0,16.5,73,USA,plymouth valiant,7.65,저출력
16.0,6,250.0,100.0,3278.0,18.0,73,USA,chevrolet nova custom,6.8,저출력
18.0,6,232.0,100.0,2945.0,16.0,73,USA,amc hornet,7.65,저출력
18.0,6,250.0,88.0,3021.0,16.5,73,USA,ford maverick,7.65,저출력
23.0,6,198.0,95.0,2904.0,16.0,73,USA,plymouth duster,9.78,저출력
26.0,4,97.0,46.0,1950.0,21.0,73,EU,volkswagen super beetle,11.05,저출력
11.0,8,400.0,150.0,4997.0,14.0,73,USA,chevrolet impala,4.68,보통출력
12.0,8,400.0,167.0,4906.0,12.5,73,USA,ford country,5.1,보통출력
13.0,8,360.0,170.0,4654.0,13.0,73,USA,plymouth custom suburb,5.53,고출력
12.0,8,350.0,180.0,4499.0,12.5,73,USA,oldsmobile vista cruiser,5.1,고출력
18.0,6,232.0,100.0,2789.0,15.0,73,USA,amc gremlin,7.65,저출력
20.0,4,97.0,88.0,2279.0,19.0,73,Japan,toyota carina,8.5,저출력
21.0,4,140.0,72.0,2401.0,19.5,73,USA,chevrolet vega,8.93,저출력
22.0,4,108.0,94.0,2379.0,16.5,73,Japan,datsun 610,9.35,저출력
18.0,3,70.0,90.0,2124.0,13.5,73,Japan,maxda rx3,7.65,저출력
19.0,4,122.0,85.0,2310.0,18.5,73,USA,ford pinto,8.08,저출력
21.0,6,155.0,107.0,2472.0,14.0,73,USA,mercury capri v6,8.93,저출력
26.0,4,98.0,90.0,2265.0,15.5,73,EU,fiat 124 sport coupe,11.05,저출력
15.0,8,350.0,145.0,4082.0,13.0,73,USA,chevrolet monte carlo s,6.38,보통출력
16.0,8,400.0,230.0,4278.0,9.5,73,USA,pontiac grand prix,6.8,고출력
29.0,4,68.0,49.0,1867.0,19.5,73,EU,fiat 128,12.33,저출력
24.0,4,116.0,75.0,2158.0,15.5,73,EU,opel manta,10.2,저출력
20.0,4,114.0,91.0,2582.0,14.0,73,EU,audi 100ls,8.5,저출력
19.0,4,121.0,112.0,2868.0,15.5,73,EU,volvo 144ea,8.08,보통출력
15.0,8,318.0,150.0,3399.0,11.0,73,USA,dodge dart custom,6.38,보통출력
24.0,4,121.0,110.0,2660.0,14.0,73,EU,saab 99le,10.2,보통출력
20.0,6,156.0,122.0,2807.0,13.5,73,Japan,toyota mark ii,8.5,보통출력
11.0,8,350.0,180.0,3664.0,11.0,73,USA,oldsmobile omega,4.68,고출력
20.0,6,198.0,95.0,3102.0,16.5,74,USA,plymouth duster,8.5,저출력
19.0,6,232.0,100.0,2901.0,16.0,74,USA,amc hornet,8.08,저출력
15.0,6,250.0,100.0,3336.0,17.0,74,USA,chevrolet nova,6.38,저출력
31.0,4,79.0,67.0,1950.0,19.0,74,Japan,datsun b210,13.18,저출력
26.0,4,122.0,80.0,2451.0,16.5,74,USA,ford pinto,11.05,저출력
32.0,4,71.0,65.0,1836.0,21.0,74,Japan,toyota corolla 1200,13.6,저출력
25.0,4,140.0,75.0,2542.0,17.0,74,USA,chevrolet vega,10.63,저출력
16.0,6,250.0,100.0,3781.0,17.0,74,USA,chevrolet chevelle malibu classic,6.8,저출력
16.0,6,258.0,110.0,3632.0,18.0,74,USA,amc matador,6.8,보통출력
18.0,6,225.0,105.0,3613.0,16.5,74,USA,plymouth satellite sebring,7.65,저출력
16.0,8,302.0,140.0,4141.0,14.0,74,USA,ford gran torino,6.8,보통출력
13.0,8,350.0,150.0,4699.0,14.5,74,USA,buick century luxus (sw),5.53,보통출력
14.0,8,318.0,150.0,4457.0,13.5,74,USA,dodge coronet custom (sw),5.95,보통출력
14.0,8,302.0,140.0,4638.0,16.0,74,USA,ford gran torino (sw),5.95,보통출력
14.0,8,304.0,150.0,4257.0,15.5,74,USA,amc matador (sw),5.95,보통출력
29.0,4,98.0,83.0,2219.0,16.5,74,EU,audi fox,12.33,저출력
26.0,4,79.0,67.0,1963.0,15.5,74,EU,volkswagen dasher,11.05,저출력
26.0,4,97.0,78.0,2300.0,14.5,74,EU,opel manta,11.05,저출력
31.0,4,76.0,52.0,1649.0,16.5,74,Japan,toyota corona,13.18,저출력
32.0,4,83.0,61.0,2003.0,19.0,74,Japan,datsun 710,13.6,저출력
28.0,4,90.0,75.0,2125.0,14.5,74,USA,dodge colt,11.9,저출력
24.0,4,90.0,75.0,2108.0,15.5,74,EU,fiat 128,10.2,저출력
26.0,4,116.0,75.0,2246.0,14.0,74,EU,fiat 124 tc,11.05,저출력
24.0,4,120.0,97.0,2489.0,15.0,74,Japan,honda civic,10.2,저출력
26.0,4,108.0,93.0,2391.0,15.5,74,Japan,subaru,11.05,저출력
31.0,4,79.0,67.0,2000.0,16.0,74,EU,fiat x1.9,13.18,저출력
19.0,6,225.0,95.0,3264.0,16.0,75,USA,plymouth valiant custom,8.08,저출력
18.0,6,250.0,105.0,3459.0,16.0,75,USA,chevrolet nova,7.65,저출력
15.0,6,250.0,72.0,3432.0,21.0,75,USA,mercury monarch,6.38,저출력
15.0,6,250.0,72.0,3158.0,19.5,75,USA,ford maverick,6.38,저출력
16.0,8,400.0,170.0,4668.0,11.5,75,USA,pontiac catalina,6.8,고출력
15.0,8,350.0,145.0,4440.0,14.0,75,USA,chevrolet bel air,6.38,보통출력
16.0,8,318.0,150.0,4498.0,14.5,75,USA,plymouth grand fury,6.8,보통출력
14.0,8,351.0,148.0,4657.0,13.5,75,USA,ford ltd,5.95,보통출력
17.0,6,231.0,110.0,3907.0,21.0,75,USA,buick century,7.23,보통출력
16.0,6,250.0,105.0,3897.0,18.5,75,USA,chevroelt chevelle malibu,6.8,저출력
15.0,6,258.0,110.0,3730.0,19.0,75,USA,amc matador,6.38,보통출력
18.0,6,225.0,95.0,3785.0,19.0,75,USA,plymouth fury,7.65,저출력
21.0,6,231.0,110.0,3039.0,15.0,75,USA,buick skyhawk,8.93,보통출력
20.0,8,262.0,110.0,3221.0,13.5,75,USA,chevrolet monza 2+2,8.5,보통출력
13.0,8,302.0,129.0,3169.0,12.0,75,USA,ford mustang ii,5.53,보통출력
29.0,4,97.0,75.0,2171.0,16.0,75,Japan,toyota corolla,12.33,저출력
23.0,4,140.0,83.0,2639.0,17.0,75,USA,ford pinto,9.78,저출력
20.0,6,232.0,100.0,2914.0,16.0,75,USA,amc gremlin,8.5,저출력
23.0,4,140.0,78.0,2592.0,18.5,75,USA,pontiac astro,9.78,저출력
24.0,4,134.0,96.0,2702.0,13.5,75,Japan,toyota corona,10.2,저출력
25.0,4,90.0,71.0,2223.0,16.5,75,EU,volkswagen dasher,10.63,저출력
24.0,4,119.0,97.0,2545.0,17.0,75,Japan,datsun 710,10.2,저출력
18.0,6,171.0,97.0,2984.0,14.5,75,USA,ford pinto,7.65,저출력
29.0,4,90.0,70.0,1937.0,14.0,75,EU,volkswagen rabbit,12.33,저출력
19.0,6,232.0,90.0,3211.0,17.0,75,USA,amc pacer,8.08,저출력
23.0,4,115.0,95.0,2694.0,15.0,75,EU,audi 100ls,9.78,저출력
23.0,4,120.0,88.0,2957.0,17.0,75,EU,peugeot 504,9.78,저출력
22.0,4,121.0,98.0,2945.0,14.5,75,EU,volvo 244dl,9.35,저출력
25.0,4,121.0,115.0,2671.0,13.5,75,EU,saab 99le,10.63,보통출력
33.0,4,91.0,53.0,1795.0,17.5,75,Japan,honda civic cvcc,14.03,저출력
28.0,4,107.0,86.0,2464.0,15.5,76,EU,fiat 131,11.9,저출력
25.0,4,116.0,81.0,2220.0,16.9,76,EU,opel 1900,10.63,저출력
25.0,4,140.0,92.0,2572.0,14.9,76,USA,capri ii,10.63,저출력
26.0,4,98.0,79.0,2255.0,17.7,76,USA,dodge colt,11.05,저출력
27.0,4,101.0,83.0,2202.0,15.3,76,EU,renault 12tl,11.48,저출력
17.5,8,305.0,140.0,4215.0,13.0,76,USA,chevrolet chevelle malibu classic,7.44,보통출력
16.0,8,318.0,150.0,4190.0,13.0,76,USA,dodge coronet brougham,6.8,보통출력
15.5,8,304.0,120.0,3962.0,13.9,76,USA,amc matador,6.59,보통출력
14.5,8,351.0,152.0,4215.0,12.8,76,USA,ford gran torino,6.16,보통출력
22.0,6,225.0,100.0,3233.0,15.4,76,USA,plymouth valiant,9.35,저출력
22.0,6,250.0,105.0,3353.0,14.5,76,USA,chevrolet nova,9.35,저출력
24.0,6,200.0,81.0,3012.0,17.6,76,USA,ford maverick,10.2,저출력
22.5,6,232.0,90.0,3085.0,17.6,76,USA,amc hornet,9.57,저출력
29.0,4,85.0,52.0,2035.0,22.2,76,USA,chevrolet chevette,12.33,저출력
24.5,4,98.0,60.0,2164.0,22.1,76,USA,chevrolet woody,10.42,저출력
29.0,4,90.0,70.0,1937.0,14.2,76,EU,vw rabbit,12.33,저출력
33.0,4,91.0,53.0,1795.0,17.4,76,Japan,honda civic,14.03,저출력
20.0,6,225.0,100.0,3651.0,17.7,76,USA,dodge aspen se,8.5,저출력
18.0,6,250.0,78.0,3574.0,21.0,76,USA,ford granada ghia,7.65,저출력
18.5,6,250.0,110.0,3645.0,16.2,76,USA,pontiac ventura sj,7.87,보통출력
17.5,6,258.0,95.0,3193.0,17.8,76,USA,amc pacer d/l,7.44,저출력
29.5,4,97.0,71.0,1825.0,12.2,76,EU,volkswagen rabbit,12.54,저출력
32.0,4,85.0,70.0,1990.0,17.0,76,Japan,datsun b-210,13.6,저출력
28.0,4,97.0,75.0,2155.0,16.4,76,Japan,toyota corolla,11.9,저출력
26.5,4,140.0,72.0,2565.0,13.6,76,USA,ford pinto,11.27,저출력
20.0,4,130.0,102.0,3150.0,15.7,76,EU,volvo 245,8.5,저출력
13.0,8,318.0,150.0,3940.0,13.2,76,USA,plymouth volare premier v8,5.53,보통출력
19.0,4,120.0,88.0,3270.0,21.9,76,EU,peugeot 504,8.08,저출력
19.0,6,156.0,108.0,2930.0,15.5,76,Japan,toyota mark ii,8.08,보통출력
16.5,6,168.0,120.0,3820.0,16.7,76,EU,mercedes-benz 280s,7.01,보통출력
16.5,8,350.0,180.0,4380.0,12.1,76,USA,cadillac seville,7.01,고출력
13.0,8,350.0,145.0,4055.0,12.0,76,USA,chevy c10,5.53,보통출력
13.0,8,302.0,130.0,3870.0,15.0,76,USA,ford f108,5.53,보통출력
13.0,8,318.0,150.0,3755.0,14.0,76,USA,dodge d100,5.53,보통출력
31.5,4,98.0,68.0,2045.0,18.5,77,Japan,honda accord cvcc,13.39,저출력
30.0,4,111.0,80.0,2155.0,14.8,77,USA,buick opel isuzu deluxe,12.75,저출력
36.0,4,79.0,58.0,1825.0,18.6,77,EU,renault 5 gtl,15.31,저출력
25.5,4,122.0,96.0,2300.0,15.5,77,USA,plymouth arrow gs,10.84,저출력
33.5,4,85.0,70.0,1945.0,16.8,77,Japan,datsun f-10 hatchback,14.24,저출력
17.5,8,305.0,145.0,3880.0,12.5,77,USA,chevrolet caprice classic,7.44,보통출력
17.0,8,260.0,110.0,4060.0,19.0,77,USA,oldsmobile cutlass supreme,7.23,보통출력
15.5,8,318.0,145.0,4140.0,13.7,77,USA,dodge monaco brougham,6.59,보통출력
15.0,8,302.0,130.0,4295.0,14.9,77,USA,mercury cougar brougham,6.38,보통출력
17.5,6,250.0,110.0,3520.0,16.4,77,USA,chevrolet concours,7.44,보통출력
20.5,6,231.0,105.0,3425.0,16.9,77,USA,buick skylark,8.72,저출력
19.0,6,225.0,100.0,3630.0,17.7,77,USA,plymouth volare custom,8.08,저출력
18.5,6,250.0,98.0,3525.0,19.0,77,USA,ford granada,7.87,저출력
16.0,8,400.0,180.0,4220.0,11.1,77,USA,pontiac grand prix lj,6.8,고출력
15.5,8,350.0,170.0,4165.0,11.4,77,USA,chevrolet monte carlo landau,6.59,고출력
15.5,8,400.0,190.0,4325.0,12.2,77,USA,chrysler cordoba,6.59,고출력
16.0,8,351.0,149.0,4335.0,14.5,77,USA,ford thunderbird,6.8,보통출력
29.0,4,97.0,78.0,1940.0,14.5,77,EU,volkswagen rabbit custom,12.33,저출력
24.5,4,151.0,88.0,2740.0,16.0,77,USA,pontiac sunbird coupe,10.42,저출력
26.0,4,97.0,75.0,2265.0,18.2,77,Japan,toyota corolla liftback,11.05,저출력
25.5,4,140.0,89.0,2755.0,15.8,77,USA,ford mustang ii 2+2,10.84,저출력
30.5,4,98.0,63.0,2051.0,17.0,77,USA,chevrolet chevette,12.97,저출력
33.5,4,98.0,83.0,2075.0,15.9,77,USA,dodge colt m/m,14.24,저출력
30.0,4,97.0,67.0,1985.0,16.4,77,Japan,subaru dl,12.75,저출력
30.5,4,97.0,78.0,2190.0,14.1,77,EU,volkswagen dasher,12.97,저출력
22.0,6,146.0,97.0,2815.0,14.5,77,Japan,datsun 810,9.35,저출력
21.5,4,121.0,110.0,2600.0,12.8,77,EU,bmw 320i,9.14,보통출력
21.5,3,80.0,110.0,2720.0,13.5,77,Japan,mazda rx-4,9.14,보통출력
43.1,4,90.0,48.0,1985.0,21.5,78,EU,volkswagen rabbit custom diesel,18.32,저출력
36.1,4,98.0,66.0,1800.0,14.4,78,USA,ford fiesta,15.35,저출력
32.8,4,78.0,52.0,1985.0,19.4,78,Japan,mazda glc deluxe,13.94,저출력
39.4,4,85.0,70.0,2070.0,18.6,78,Japan,datsun b210 gx,16.75,저출력
36.1,4,91.0,60.0,1800.0,16.4,78,Japan,honda civic cvcc,15.35,저출력
19.9,8,260.0,110.0,3365.0,15.5,78,USA,oldsmobile cutlass salon brougham,8.46,보통출력
19.4,8,318.0,140.0,3735.0,13.2,78,USA,dodge diplomat,8.25,보통출력
20.2,8,302.0,139.0,3570.0,12.8,78,USA,mercury monarch ghia,8.59,보통출력
19.2,6,231.0,105.0,3535.0,19.2,78,USA,pontiac phoenix lj,8.16,저출력
20.5,6,200.0,95.0,3155.0,18.2,78,USA,chevrolet malibu,8.72,저출력
20.2,6,200.0,85.0,2965.0,15.8,78,USA,ford fairmont (auto),8.59,저출력
25.1,4,140.0,88.0,2720.0,15.4,78,USA,ford fairmont (man),10.67,저출력
20.5,6,225.0,100.0,3430.0,17.2,78,USA,plymouth volare,8.72,저출력
19.4,6,232.0,90.0,3210.0,17.2,78,USA,amc concord,8.25,저출력
20.6,6,231.0,105.0,3380.0,15.8,78,USA,buick century special,8.76,저출력
20.8,6,200.0,85.0,3070.0,16.7,78,USA,mercury zephyr,8.84,저출력
18.6,6,225.0,110.0,3620.0,18.7,78,USA,dodge aspen,7.91,보통출력
18.1,6,258.0,120.0,3410.0,15.1,78,USA,amc concord d/l,7.7,보통출력
19.2,8,305.0,145.0,3425.0,13.2,78,USA,chevrolet monte carlo landau,8.16,보통출력
17.7,6,231.0,165.0,3445.0,13.4,78,USA,buick regal sport coupe (turbo),7.53,보통출력
18.1,8,302.0,139.0,3205.0,11.2,78,USA,ford futura,7.7,보통출력
17.5,8,318.0,140.0,4080.0,13.7,78,USA,dodge magnum xe,7.44,보통출력
30.0,4,98.0,68.0,2155.0,16.5,78,USA,chevrolet chevette,12.75,저출력
27.5,4,134.0,95.0,2560.0,14.2,78,Japan,toyota corona,11.69,저출력
27.2,4,119.0,97.0,2300.0,14.7,78,Japan,datsun 510,11.56,저출력
30.9,4,105.0,75.0,2230.0,14.5,78,USA,dodge omni,13.14,저출력
21.1,4,134.0,95.0,2515.0,14.8,78,Japan,toyota celica gt liftback,8.97,저출력
23.2,4,156.0,105.0,2745.0,16.7,78,USA,plymouth sapporo,9.86,저출력
23.8,4,151.0,85.0,2855.0,17.6,78,USA,oldsmobile starfire sx,10.12,저출력
23.9,4,119.0,97.0,2405.0,14.9,78,Japan,datsun 200-sx,10.16,저출력
20.3,5,131.0,103.0,2830.0,15.9,78,EU,audi 5000,8.63,저출력
17.0,6,163.0,125.0,3140.0,13.6,78,EU,volvo 264gl,7.23,보통출력
21.6,4,121.0,115.0,2795.0,15.7,78,EU,saab 99gle,9.18,보통출력
16.2,6,163.0,133.0,3410.0,15.8,78,EU,peugeot 604sl,6.89,보통출력
31.5,4,89.0,71.0,1990.0,14.9,78,EU,volkswagen scirocco,13.39,저출력
29.5,4,98.0,68.0,2135.0,16.6,78,Japan,honda accord lx,12.54,저출력
21.5,6,231.0,115.0,3245.0,15.4,79,USA,pontiac lemans v6,9.14,보통출력
19.8,6,200.0,85.0,2990.0,18.2,79,USA,mercury zephyr 6,8.42,저출력
22.3,4,140.0,88.0,2890.0,17.3,79,USA,ford fairmont 4,9.48,저출력
20.2,6,232.0,90.0,3265.0,18.2,79,USA,amc concord dl 6,8.59,저출력
20.6,6,225.0,110.0,3360.0,16.6,79,USA,dodge aspen 6,8.76,보통출력
17.0,8,305.0,130.0,3840.0,15.4,79,USA,chevrolet caprice classic,7.23,보통출력
17.6,8,302.0,129.0,3725.0,13.4,79,USA,ford ltd landau,7.48,보통출력
16.5,8,351.0,138.0,3955.0,13.2,79,USA,mercury grand marquis,7.01,보통출력
18.2,8,318.0,135.0,3830.0,15.2,79,USA,dodge st. regis,7.74,보통출력
16.9,8,350.0,155.0,4360.0,14.9,79,USA,buick estate wagon (sw),7.18,보통출력
15.5,8,351.0,142.0,4054.0,14.3,79,USA,ford country squire (sw),6.59,보통출력
19.2,8,267.0,125.0,3605.0,15.0,79,USA,chevrolet malibu classic (sw),8.16,보통출력
18.5,8,360.0,150.0,3940.0,13.0,79,USA,chrysler lebaron town @ country (sw),7.87,보통출력
31.9,4,89.0,71.0,1925.0,14.0,79,EU,vw rabbit custom,13.56,저출력
34.1,4,86.0,65.0,1975.0,15.2,79,Japan,maxda glc deluxe,14.5,저출력
35.7,4,98.0,80.0,1915.0,14.4,79,USA,dodge colt hatchback custom,15.18,저출력
27.4,4,121.0,80.0,2670.0,15.0,79,USA,amc spirit dl,11.65,저출력
25.4,5,183.0,77.0,3530.0,20.1,79,EU,mercedes benz 300d,10.8,저출력
23.0,8,350.0,125.0,3900.0,17.4,79,USA,cadillac eldorado,9.78,보통출력
27.2,4,141.0,71.0,3190.0,24.8,79,EU,peugeot 504,11.56,저출력
23.9,8,260.0,90.0,3420.0,22.2,79,USA,oldsmobile cutlass salon brougham,10.16,저출력
34.2,4,105.0,70.0,2200.0,13.2,79,USA,plymouth horizon,14.54,저출력
34.5,4,105.0,70.0,2150.0,14.9,79,USA,plymouth horizon tc3,14.67,저출력
31.8,4,85.0,65.0,2020.0,19.2,79,Japan,datsun 210,13.52,저출력
37.3,4,91.0,69.0,2130.0,14.7,79,EU,fiat strada custom,15.86,저출력
28.4,4,151.0,90.0,2670.0,16.0,79,USA,buick skylark limited,12.07,저출력
28.8,6,173.0,115.0,2595.0,11.3,79,USA,chevrolet citation,12.24,보통출력
26.8,6,173.0,115.0,2700.0,12.9,79,USA,oldsmobile omega brougham,11.39,보통출력
33.5,4,151.0,90.0,2556.0,13.2,79,USA,pontiac phoenix,14.24,저출력
41.5,4,98.0,76.0,2144.0,14.7,80,EU,vw rabbit,17.64,저출력
